category,agency,description,locationType,address,borough,lat,lng,frequency
human,3-1-1 Call Center,People Created Noise,Home,600 WEST 163 STREET,MANHATTAN,40.83793262225113,-73.94247708562214,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,1720 2 AVENUE,MANHATTAN,40.7800280285702,-73.9501675338124,6
human,New York City Police Department,Loud Music/Party,Store/Commercial,2121 GRANDCONCOURSE,BRONX,40.85423373557348,-73.90216140043216,4
human,New York City Police Department,Loud Talking,Club/Bar/Restaurant,3622 QUENTIN ROAD,BROOKLYN,40.61478362623815,-73.93656784825214,3
human,New York City Police Department,Loud Music/Party,Store/Commercial,2267 HAVILAND AVENUE,BRONX,40.83075818233488,-73.84874077645124,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,MANHATTAN,40.73314743037243,-74.00586700807897,3
human,New York City Police Department,Loud Music/Party,Store/Commercial,1801 EASTERN PARKWAY,BROOKLYN,40.674448080344725,-73.90944061822229,19
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,514 3 AVENUE,MANHATTAN,40.746029326741365,-73.97791326408628,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,1729 LEXINGTON AVENUE,MANHATTAN,40.79337901293557,-73.9454372950292,4
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,69 STREET,QUEENS,40.75016229534166,-73.8963266353473,3
human,New York City Police Department,Loud Music/Party,Store/Commercial, LENOX AVENUE,MANHATTAN,40.79977411779796,-73.9513121582324,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,69 LEONARD STREET,MANHATTAN,40.71749684950512,-74.00536780937206,6
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,3938 BROADWAY,MANHATTAN,40.839062802723554,-73.94120759744989,11
human,3-1-1 Call Center,People Created Noise,Bar/Restaurant,322 EAST 86 STREET,MANHATTAN,40.77756087664423,-73.95102149427633,6
human,New York City Police Department,Loud Talking,House of Worship,,MANHATTAN,40.800685865737464,-73.95250703275208,16
human,3-1-1 Call Center,People Created Noise,Street/Sidewalk,324 PEARL STREET,MANHATTAN,40.70907876986883,-74.00220023535412,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,102-55 QUEENS BOULEVARD,QUEENS,40.72538477129977,-73.85076943133835,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,BROOKLYN,40.574979075399156,-73.96286187751703,10
human,New York City Police Department,Loud Talking,Club/Bar/Restaurant,80-12 51 AVENUE,QUEENS,40.73748844572096,-73.88345324208842,3
human,3-1-1 Call Center,People Created Noise,Home,1576 82 STREET,BROOKLYN,40.61275611931181,-74.00562231406073,4
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,60 DIVISION AVENUE,BROOKLYN,40.7071689944868,-73.96630850797419,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,BROOKLYN,40.65887592345911,-73.94752242635533,5
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,MANHATTAN,40.86633576116726,-73.92500424033001,4
human,New York City Police Department,Loud Talking,Street/Sidewalk,,MANHATTAN,40.79092846074301,-73.96892770630903,3
human,New York City Police Department,Loud Music/Party,Store/Commercial,227 ST MARKS AVENUE,BROOKLYN,40.678415246831925,-73.9678913333533,10
human,New York City Police Department,Loud Talking,Street/Sidewalk,,MANHATTAN,40.767242007860716,-73.98620222365885,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,,BROOKLYN,40.71395678162111,-73.95793274830521,14
human,New York City Police Department,Loud Talking,Street/Sidewalk,211-01 42 AVENUE,QUEENS,40.76233930308982,-73.77294520681623,5
human,New York City Police Department,Loud Talking,Street/Sidewalk,1319 EAST 17 STREET,BROOKLYN,40.61803783756274,-73.95810125920815,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,231 2 AVENUE,MANHATTAN,40.73250430918979,-73.98483829636253,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,58 EAST 34 STREET,MANHATTAN,40.747520498812406,-73.9824023963286,11
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,501 WEST 189 STREET,MANHATTAN,40.85321491356963,-73.92745176858456,5
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,MANHATTAN,40.85368615752927,-73.93053828207398,5
human,New York City Police Department,Loud Talking,Street/Sidewalk,5 CARROLL STREET,BRONX,40.845047467054904,-73.78943338007632,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,MANHATTAN,40.81540268716428,-73.93990986133805,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,MANHATTAN,40.76040500039782,-73.98747426235285,27
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,536 WEST 156 STREET,MANHATTAN,40.83280618161191,-73.94385831899217,5
human,New York City Police Department,Loud Talking,Street/Sidewalk,,MANHATTAN,40.72023519816055,-73.98447672523356,5
